,img_id_A,img_id_B,target,f1,f2,f3,f4,f5,f6,f7,f8,f9
426,0460b,0460c,1,-3,4,0,-3,0,0,0,-4,0
427,1174a,1374b,0,0,-2,0,-1,0,-1,1,-2,0
428,1344b,1344c,1,1,0,0,0,0,2,2,0,0
429,0321b,1328b,0,-1,0,0,-1,0,1,0,0,1
430,1373a,1273a,0,-1,-3,0,-3,0,1,0,1,0
431,0337a,0571c,0,0,-3,0,3,0,1,-3,0,0
432,0564a,0564b,1,1,3,-2,-3,0,0,0,1,0
433,1121a,0456b,0,1,0,0,-1,2,-1,1,-2,1
434,1513b,1513a,1,0,1,0,-3,0,0,-2,0,1
435,1381a,0368c,0,1,1,1,2,2,1,0,-2,1
436,0916a,0453c,0,0,0,0,3,0,-1,-2,-1,1
437,0311a,0357a,0,1,-3,0,-1,0,0,1,-2,-1
438,0469b,0469c,1,-3,0,0,-2,-2,1,0,2,0
439,0355b,0585c,0,-1,0,-1,0,2,-1,2,-3,0
440,1319a,0302a,0,-1,0,1,2,0,1,0,-2,-1
441,0916a,0457b,0,0,4,0,3,0,0,0,-4,0
442,0434c,0434a,1,-1,0,0,2,0,-1,-1,-2,-1
443,0593b,1196a,0,-3,1,0,3,2,0,1,-1,-1
444,0461a,0531a,0,1,-1,0,3,-2,1,-1,-1,0
445,1252c,1319c,0,1,1,0,1,0,-1,-3,-1,0
446,0518a,0518b,1,0,0,0,0,0,-1,1,0,0
447,1475b,0340a,0,1,-3,1,0,2,0,3,-2,0
448,0414a,1421b,0,2,0,0,0,0,1,-2,1,0
449,1533b,1406b,0,2,-1,1,-2,0,-1,2,0,0
450,0301a,0301c,1,2,4,0,-1,0,0,1,-3,-1
451,0350b,1465c,0,1,-4,0,0,2,0,2,1,0
452,0571a,0571c,1,3,2,0,3,0,0,0,3,0
453,0374b,0374a,1,-1,-1,1,-1,-2,-1,1,-2,-1
454,1131a,0340c,0,2,-3,0,3,-2,0,-1,1,0
455,1431a,1361a,0,2,0,0,0,2,1,2,1,1
456,1260a,1544a,0,1,0,-1,-1,0,1,-2,-1,0
457,1430b,0885c,0,-2,-3,0,-2,2,-1,0,-3,0
458,0324b,0350a,0,0,1,0,0,0,2,0,-2,0
459,0396c,0587a,0,1,0,0,0,2,0,0,3,1
460,0403c,0403a,1,1,0,-1,-1,0,-2,-2,-2,1
461,0550b,0392b,0,-1,3,1,-1,0,2,1,0,0
462,1363b,1363c,1,0,-1,0,0,0,-2,-1,-4,0
463,1289a,1289c,1,-1,1,0,-1,0,1,0,3,1
464,1475a,0562c,0,1,0,0,0,1,-1,0,1,0
465,0412b,1361a,0,0,-1,0,2,-1,1,1,0,1
466,1377a,1259a,0,-1,3,0,3,2,0,1,0,0
467,0459b,1221a,0,0,2,0,-4,0,0,1,-1,0
468,1471b,1417a,0,-2,0,0,0,2,-1,0,4,0
469,0376c,0376b,1,-2,0,0,0,0,0,0,2,0
470,0584a,0584b,1,0,1,0,-3,0,0,1,2,-1
471,0489b,0489a,1,3,2,1,-2,0,-2,1,-2,0
472,1341b,1341c,1,1,-1,0,0,0,0,-3,-1,-1
473,0301a,1501c,0,2,1,1,-1,2,2,-2,2,0
474,1364b,0532c,0,1,0,0,-3,0,-1,1,-2,-1
475,0458c,0521a,0,2,3,0,-3,0,-1,0,0,1
476,1517c,1551c,0,-1,-1,0,2,2,0,1,0,0
477,1458a,1458c,1,1,0,0,-3,0,0,1,1,0
478,1219a,0334b,0,2,2,0,3,2,0,1,1,0
479,0321b,1501c,0,1,1,-1,0,0,0,-1,0,0
480,1353b,0473c,0,2,4,0,-1,0,0,0,-1,0
481,1328b,1328c,1,1,0,-1,0,0,-1,1,-1,-1
482,0550a,1461c,0,2,1,0,3,2,0,0,-2,0
483,1416b,1416c,1,1,3,1,1,0,-1,0,1,0
484,1461c,1461a,1,-1,0,1,-1,-2,0,1,-2,-1
485,0587a,0587c,1,0,-1,0,-1,0,1,1,0,0
486,1477a,1477b,1,0,0,0,-2,2,0,1,2,1
487,0355c,0355b,1,-1,-3,0,0,0,-1,1,-2,-1
488,0405c,0563c,0,0,-1,-1,-3,2,-1,1,0,0
489,1417a,1348c,0,0,0,1,2,-1,0,-1,-2,0
490,1219a,1219b,1,-2,2,0,-2,0,-2,0,-2,0
491,0544b,0544a,1,2,-3,0,-1,0,0,3,0,0
492,1252a,1252b,1,1,-1,0,0,-1,-1,0,2,0
493,1371c,1343c,0,-1,0,-1,-1,-2,0,-1,0,-1
494,0331b,0331a,1,-3,0,1,2,2,1,0,-2,1
495,0429b,0457c,0,2,0,0,1,-1,1,-2,4,1
496,1510a,1460b,0,-1,0,-1,-1,0,-1,0,-1,0
497,1124c,0343c,0,3,0,0,0,0,0,1,-1,0
498,1463a,1460b,0,-1,1,1,-2,-2,-1,1,2,-1
499,1545a,1545c,1,1,-4,0,-1,0,0,-2,3,1
500,0536b,1325b,0,-1,0,1,-1,0,-1,0,0,0
501,0525a,0525c,1,-2,0,0,-3,0,0,0,1,0
502,0411c,0411a,1,2,3,1,0,0,0,-1,0,0
503,1344a,1344c,1,1,-4,0,-3,2,1,0,0,0
504,0355a,0355b,1,2,1,0,-1,0,2,2,2,1
505,0451a,1255c,0,-1,1,0,-3,0,0,-1,4,0
506,1334a,1153b,0,-2,3,0,0,2,0,0,1,1
507,0301a,0301b,1,1,-3,0,-3,0,1,0,1,0
508,1441a,1441b,1,0,0,1,0,0,0,-3,-2,0
509,1121a,1121c,1,0,-1,1,0,0,0,0,1,0
510,1320a,0491a,0,2,1,0,-2,0,0,0,1,0
511,1545a,1545b,1,-1,-3,0,3,0,-2,-1,-1,-1
512,1039c,1197c,0,0,0,0,-3,0,-1,-1,4,0
513,1230c,1230b,1,1,0,-1,-2,-2,-1,-1,2,-1
514,1237a,1237b,1,-1,-3,0,3,0,0,1,0,-1
515,1497c,0302b,0,0,-1,0,0,0,-1,1,1,0
516,0577a,0577b,1,2,4,0,-1,2,0,-1,-1,1
517,1451c,0359b,0,0,0,0,-1,0,0,0,-2,0
518,1543b,1543c,1,1,3,0,-3,0,-1,1,-1,0
519,0544a,0544c,1,2,0,1,0,2,-1,3,-1,1
520,1194a,1194b,1,2,-2,0,0,0,0,0,1,0
521,1091b,1217b,0,0,0,0,2,0,0,1,0,0
522,0350b,1099c,0,2,4,1,-3,0,0,3,1,0
523,0592b,0592c,1,0,-3,0,3,0,0,0,1,0
524,0496e,1273a,0,1,2,0,1,2,-1,1,2,1
525,1423a,0540a,0,0,1,0,-3,0,1,0,-3,0
526,0539b,0539c,1,-2,0,0,3,-2,1,-1,-1,0
527,0363a,0348b,0,1,0,0,0,-2,0,-3,2,0
528,0381b,0373a,0,3,-2,0,1,1,1,-1,2,0
529,1517c,1181c,0,-1,1,0,-1,0,-1,-1,0,0
530,0594b,0594c,1,1,2,0,0,0,0,1,-1,0
531,1363b,1363a,1,1,-4,-1,1,-2,-1,0,-1,-1
532,0924a,0924c,1,1,0,0,0,1,1,0,2,0
533,1429b,1429c,1,-2,-3,1,-3,0,1,0,1,0
534,1221c,1039a,0,-2,-1,0,0,0,-3,-3,-3,0
535,0555b,0555c,1,2,-1,0,-1,2,0,0,2,1
536,1430a,1430b,1,0,0,0,-3,0,-1,1,-1,0
537,1488a,0457a,0,1,-2,0,3,0,0,0,-2,0
538,1468b,1468c,1,0,4,-1,-3,0,2,-1,1,1
539,1181a,1181c,1,2,1,0,0,0,2,-1,2,1
540,1120b,1120c,1,-1,1,0,0,2,1,-1,2,1
541,1134a,0564a,0,1,-1,0,0,0,0,1,0,-1
542,1518c,0355c,0,-2,4,1,-2,2,-1,-3,0,0
543,1129a,0351a,0,-1,2,0,2,0,2,-1,0,0
544,1468a,1468b,1,0,-1,0,-4,0,2,0,-1,0
545,0414a,0414c,1,-1,0,-2,-3,-2,-1,1,-1,0
546,1320a,1320c,1,1,0,0,1,0,-1,0,-1,0
547,1255a,1549c,0,0,-2,0,-3,0,0,-1,0,0
548,1178a,1178c,1,-1,-3,1,-3,0,-2,0,-3,-1
549,0387b,0387a,1,0,0,0,3,-2,0,-2,0,0
550,1367a,1367c,1,-1,1,0,0,2,0,1,2,0
551,1488b,1356b,0,2,0,0,2,0,0,1,1,0
552,0385a,0401b,0,-2,0,-1,0,0,-1,-2,0,1
553,0531a,0381b,0,0,-3,0,0,0,0,0,0,0
554,1271b,1271c,1,1,0,0,2,0,1,-3,-2,0
555,0372b,1408b,0,2,0,0,0,0,0,-1,-2,0
556,1453b,1453c,1,1,0,0,0,0,0,-1,2,0
557,0338a,0449c,0,1,0,0,3,0,0,0,-2,0
558,1091b,1091c,1,0,0,-1,-3,2,1,0,0,0
559,0456b,0456c,1,0,-2,0,0,0,-1,2,-2,-1
560,0441b,0469a,0,-1,-1,1,-2,0,1,0,3,0
561,0374c,0927c,0,1,0,0,-1,0,0,-1,1,-1
562,0306a,0306b,1,1,-1,0,-2,2,-1,-1,0,0
563,1455a,1498a,0,1,0,0,-3,0,1,-1,-2,0
564,1227b,1303a,0,0,-4,1,0,0,-1,0,3,0
565,1367a,1367b,1,0,0,1,1,0,1,3,-1,0
566,1039c,1039a,1,-2,-1,0,0,1,-1,0,-3,0
567,1540b,1540c,1,-1,-1,0,0,0,0,0,-2,0
568,1302a,1344c,0,-3,-4,0,0,0,1,0,-4,0
569,1164c,1164b,1,-3,0,0,0,-1,2,0,-1,0
570,0507a,0507c,1,3,0,-1,0,1,0,-1,1,1
571,0424a,0477a,0,0,0,0,0,2,0,1,0,0
572,0473a,0911c,0,-3,-1,0,0,0,-1,1,-2,0
573,1197a,0924c,0,0,1,0,3,1,0,1,2,0
574,1498a,1498b,1,1,-1,0,-2,2,2,-1,0,1
575,1458a,1458b,1,-2,-4,-1,-3,-2,-1,-3,-2,-1
576,1294a,1294c,1,-1,0,0,0,2,-1,-1,-2,0
577,0555c,0555a,1,-1,0,0,3,-2,-1,-1,3,0
578,0544a,0353c,0,1,0,0,2,0,2,0,0,1
579,1257a,0451b,0,2,-1,0,-3,1,0,0,2,0
580,0314c,0421a,0,-2,3,0,-2,0,-1,-3,-2,0
581,0525a,0525b,1,2,0,-1,1,0,0,-1,0,1
582,1286b,1286c,1,0,3,0,-2,0,1,-1,-2,0
583,1296c,0445c,0,2,0,0,1,0,0,1,1,0
584,1131a,1178a,0,0,0,-1,0,2,1,-3,-1,0
585,1429b,1429a,1,1,0,0,0,0,0,-1,3,0
586,0431c,0434c,0,0,2,0,3,0,0,1,-4,0
587,1511b,1511c,1,1,-1,0,-2,0,1,0,0,1
588,1492a,1492c,1,1,0,0,0,-2,0,-1,-1,1
589,1090a,1475c,0,0,-1,0,-2,-2,0,-1,-3,0
590,0561a,0561b,1,1,-3,0,0,0,0,1,-2,0
591,0537c,0521c,0,1,0,0,0,0,-1,-3,0,-1
592,0337a,0337b,1,-1,3,0,0,0,0,-3,1,0
593,0531a,0531c,1,2,0,0,-1,0,0,0,3,0
594,0334c,1409b,0,2,-1,0,2,2,-1,1,-1,1
595,0333b,0333a,1,-2,-2,0,2,0,-1,2,-1,-1
596,1486a,0301b,0,1,-1,0,0,0,0,-1,0,0
597,1329b,1254b,0,-1,0,1,1,0,0,2,-3,0
598,1455a,1455c,1,-1,-3,1,0,0,-1,0,-3,0
599,1405b,0435b,0,0,-1,0,3,0,0,-1,0,-1
600,0348c,1409c,0,1,0,0,2,0,0,0,0,0
601,1229c,1377a,0,0,2,1,3,0,0,1,2,0
602,0503a,1330a,0,0,0,0,2,1,0,3,-3,0
603,0518a,0866c,0,2,-1,0,-2,0,1,-1,0,0
604,1463a,1413c,0,2,-1,0,3,0,1,-1,2,1
605,1180a,1393a,0,-3,1,0,0,0,1,1,2,0
606,1499b,1499c,1,0,-1,-1,2,1,1,-1,-1,0
607,1229b,1119a,0,2,0,0,2,0,0,0,0,1
608,0536a,1267a,0,-2,-1,0,3,0,-1,0,-1,0
609,1180c,1496c,0,0,2,1,-1,2,0,2,-1,0
610,1386a,1451c,0,1,-2,0,-3,2,0,1,-1,0
611,1267a,0412b,0,3,4,-1,1,0,0,-1,1,1
612,1492a,1521c,0,1,-1,1,-1,0,1,-2,2,0
613,1504c,1504a,1,3,2,0,3,0,0,-1,2,1
614,1255b,1255c,1,1,-2,0,0,2,0,-1,0,1
615,1367a,0324b,0,3,1,-1,1,0,1,1,2,1
616,0372a,0522b,0,0,1,0,2,0,1,1,-2,-1
617,0374b,0374c,1,0,-3,0,3,0,-2,0,2,0
618,1411a,1411b,1,0,-1,0,0,2,1,-2,-1,0
619,1131a,0324b,0,1,0,-1,0,0,1,-1,3,0
620,0350b,0496e,0,2,-1,1,-4,0,1,1,-1,0
621,1201b,0859a,0,2,0,-1,2,2,0,-2,-1,1
622,1409c,1064c,0,2,0,0,0,2,1,2,2,1
623,0367a,1486a,0,-1,0,0,0,0,-1,-1,-3,0
624,1531b,1531c,1,2,-1,0,0,0,-1,0,2,0
625,0357b,0357c,1,-1,1,0,-2,0,0,0,0,-1
626,0313b,1194b,0,0,3,0,0,0,0,-1,-2,0
627,1368b,1358a,0,2,-3,0,-3,2,2,-1,1,0
628,0385c,0385a,1,1,0,0,-3,0,0,-1,-3,0
629,0471c,0358b,0,-2,0,0,3,0,1,1,-2,0
630,1394a,1394c,1,-2,-2,1,1,0,0,1,-2,-1
631,0302c,0302b,1,-1,0,1,1,2,1,0,-2,0
632,1490c,1490b,1,1,4,0,-1,-2,-1,1,-4,0
633,1197a,1197c,1,0,1,1,3,2,1,-2,0,0
634,0363b,1508c,0,1,-1,1,2,2,0,0,0,1
635,1309a,0539a,0,0,-3,-1,3,-1,-1,0,0,0
636,0531b,0531c,1,0,1,1,0,-3,1,-2,1,0
637,1458b,1458c,1,-1,1,0,-3,0,0,-1,0,0
638,0544a,1405c,0,-1,-2,1,-1,0,0,0,2,1
639,1302a,1237b,0,-2,1,-2,0,2,0,-3,1,0
640,0595c,0374a,0,-2,1,-1,-2,2,0,-1,-2,0
641,0474b,0474c,1,-2,1,1,1,0,0,0,0,0
642,0475a,1219c,0,0,-2,1,-2,-2,0,3,-1,0
643,1442b,1442c,1,-1,1,0,-1,0,-1,-2,-1,-1
644,0458a,0458b,1,-2,-1,1,0,0,-1,0,-2,-1
645,1361a,0473b,0,0,-1,0,-1,0,0,-1,-3,0
646,0331a,1319c,0,1,3,-1,0,2,1,-1,2,1
647,1124c,0375b,0,-1,-1,1,3,2,-1,-1,2,0
648,0485b,0373c,0,0,0,0,-3,-2,-1,0,0,0
649,0381c,1532a,0,1,3,0,-2,2,-1,-1,4,1
650,1447a,1447c,1,-1,3,0,0,1,-1,-1,-3,0
651,1488c,1488b,1,1,-3,0,3,0,1,-1,-1,0
652,0445a,0387b,0,-1,0,1,0,0,-1,0,-1,-1
653,0459b,0516a,0,-1,-3,0,0,0,0,1,1,0
654,1330a,0506b,0,0,-1,0,3,0,0,-1,2,0
655,0459b,1308c,0,0,1,0,0,0,-1,0,0,0
656,1480c,1197b,0,0,-3,0,2,0,-1,1,-2,0
657,0556a,0556b,1,-1,-4,0,2,0,1,0,2,0
658,1551a,1551c,1,1,0,0,0,-1,0,-1,1,1
659,0563a,0563c,1,1,-1,0,0,0,0,0,1,1
660,0510c,0510b,1,0,0,0,0,-2,1,-2,1,1
661,1461a,1360c,0,1,-3,0,2,2,1,0,-2,0
662,1375a,1350a,0,1,2,0,0,0,-1,1,3,0
663,1417c,1417a,1,1,0,0,-2,0,0,0,0,0
664,1518c,1518a,1,1,3,1,-2,0,-1,2,-1,0
665,0372b,0489a,0,0,3,1,-1,0,0,0,-1,-1
666,1366b,1366c,1,-1,0,0,0,0,-1,0,-3,0
667,1129c,1129a,1,1,-2,0,-2,0,-1,0,-2,-1
668,0516a,0549c,0,-1,-2,1,0,0,0,3,-1,-1
669,0431c,0431a,1,1,4,0,1,1,1,0,-1,0
670,1352b,1352a,1,0,0,0,0,0,1,-2,2,1
671,0340a,0324c,0,-1,-2,0,0,0,-1,-1,-1,0
672,0333a,1271b,0,2,1,0,3,0,0,0,1,1
673,0539a,0539c,1,-1,0,0,-3,-2,0,-1,-1,1
674,0311a,0311c,1,-1,-3,0,3,0,0,-1,-1,0
675,1447b,1447c,1,3,2,0,0,2,1,2,2,1
676,1538a,1538c,1,1,0,0,1,0,0,1,-2,1
677,1411b,1411c,1,0,3,0,2,0,0,1,1,1
678,0587b,0587c,1,0,1,0,-2,0,1,1,0,1
679,1424a,1424b,1,-1,-1,1,3,0,-1,1,-2,-1
680,0927a,0927c,1,2,-1,0,-1,0,0,1,-1,0
681,0531a,1171a,0,-1,0,1,-1,-1,0,-3,0,0
682,0550b,1521b,0,-2,-3,0,2,0,0,0,-1,0
683,1391c,1454a,0,-2,0,-1,-1,1,-1,-1,-3,0
684,1430a,1430c,1,-1,-2,-1,-3,-2,-1,-2,-1,0
685,0569a,0302a,0,0,0,0,-3,-2,-1,-1,-2,0
686,0552a,0552c,1,-1,3,0,2,0,2,-3,-1,0
687,1377b,1377c,1,-1,1,1,2,2,-1,0,0,0
688,1282b,1282c,1,1,0,0,0,0,0,-1,2,0
689,0592b,1286a,0,0,1,0,2,0,0,2,-2,1
690,1493a,1493b,1,-1,1,-1,-3,0,-1,-1,-1,-1
691,1360a,1360c,1,0,-3,0,-3,0,0,3,-4,0
692,1144c,1552a,0,3,2,1,-3,0,2,1,1,0
693,1144c,1099c,0,1,0,0,3,0,0,1,-4,0
694,0334b,0334c,1,-1,1,0,3,0,0,-3,-2,0
695,1450b,1450c,1,-1,-3,0,2,0,-1,1,0,-1
696,1476a,1476c,1,0,0,0,-1,0,-2,0,-1,0
697,1300a,1300b,1,-1,-4,-1,-2,0,-2,-2,0,0
698,1371c,1099a,0,0,3,0,0,-2,-1,-3,-1,0
699,1446a,1446b,1,-3,0,0,0,0,0,-1,1,0
700,1334c,0564a,0,-1,-3,0,-3,0,0,0,-2,0
701,1443c,1091a,0,0,0,0,2,2,-1,0,-2,1
702,0456b,0563a,0,-3,2,0,3,0,2,0,3,0
703,0530a,0463b,0,0,0,0,-2,0,0,-1,-3,0
704,0375a,1194b,0,0,0,0,0,0,1,-3,-1,0
705,1454b,1454c,1,-2,-3,0,-3,0,0,-1,0,0
706,1260b,1260c,1,0,1,-1,0,-2,1,-1,-3,-1
707,1546c,1546a,1,0,1,0,0,0,0,0,-1,-1
708,0927b,0927c,1,0,-1,0,-1,-1,0,0,-1,0
709,0401b,0597a,0,1,0,1,-2,0,0,3,2,0
710,1533c,1533a,1,-1,0,0,0,0,0,-1,-2,0
711,0475a,0390c,0,2,0,0,0,-2,0,-1,-3,0
712,0405b,0385c,0,-2,-3,0,2,-2,1,1,1,-1
713,1429a,1308c,0,3,-3,0,0,0,1,-1,1,0
714,1229c,1254a,0,-1,-4,-1,1,0,-2,0,-1,-1
715,1489c,0560c,0,1,0,0,1,2,0,1,-2,0
716,0445a,0445b,1,-1,1,0,3,1,0,3,1,0
717,1463a,1463c,1,-1,-2,0,-3,1,0,-1,1,0
718,1531b,1335c,0,-1,3,0,-1,0,0,-1,0,1
719,0317b,0317c,1,1,1,0,1,0,1,-1,-2,0
720,0859a,0375b,0,0,0,0,-3,0,2,-2,-2,0
721,1229b,1229c,1,-2,-2,1,2,0,-1,0,0,-1
722,1455b,1455c,1,-1,-3,-1,1,2,-1,1,-3,-1
723,0434b,0434a,1,-1,1,-1,-4,-1,0,-1,-3,0
724,1360b,1360c,1,-2,-3,0,1,0,-1,-2,-1,0
725,1538a,0440c,0,1,-1,0,0,0,0,0,2,0
726,0313c,0373a,0,-1,-3,0,-3,0,-1,1,-2,0
727,0351c,0351a,1,-2,0,0,3,0,-1,0,3,0
728,0471b,0471c,1,1,0,0,-3,0,0,0,-1,0
729,1352b,0306b,0,-1,0,0,-1,1,0,1,-3,1
730,1120a,1489c,0,0,0,0,-3,0,3,0,1,0
731,1365c,1365a,1,1,-1,0,0,0,2,-3,-1,0
732,1543a,1543b,1,0,-4,0,3,2,0,-3,1,0
733,1329a,1329b,1,-1,0,0,1,2,-1,-1,2,1
734,1307b,1447b,0,0,0,0,0,0,-1,0,2,1
735,0338b,0338c,1,0,1,0,1,0,-1,-2,-2,-1
736,1444b,0401b,0,0,1,-1,2,0,1,1,-3,0
737,0404c,0401b,0,-1,0,0,0,0,1,2,2,1
738,1552a,1504a,0,0,0,0,-3,-2,-1,0,0,0
739,1245c,1465b,0,-1,0,0,-3,0,-1,1,-1,-1
740,1254a,1254b,1,1,0,1,-2,0,-1,1,0,0
741,1465a,1465c,1,3,1,0,0,0,0,-1,-1,0
742,1432a,0461b,0,0,0,0,-3,-2,-1,0,0,0
743,1302a,1302b,1,-1,-3,0,-2,0,-1,0,0,-1
744,1382c,1382a,1,-2,0,1,-1,0,0,0,-2,-1
745,1267a,0429b,0,-1,1,0,1,1,0,0,3,0
746,1307a,1307b,1,0,0,0,-1,0,1,-1,0,1
747,1174a,1174b,1,1,-1,0,2,0,0,-2,1,0
748,0540a,0540c,1,0,1,1,-2,0,1,0,0,0
749,0405c,0405b,1,-1,-2,0,-2,-2,-1,-3,-3,0
750,0472a,0381b,0,0,1,1,0,-1,1,0,3,0
751,1552a,1471c,0,-2,0,0,1,0,0,-1,0,0
752,0532b,0532c,1,-1,1,0,-3,2,0,1,-1,0
753,0516a,0315a,0,-1,0,0,3,0,-1,-3,-1,0
754,1309b,0372a,0,-1,0,0,-1,0,-1,-2,-1,0
755,0445c,1497c,0,1,-1,0,-1,0,-2,0,-1,1
756,0350c,0350a,1,2,1,0,-1,0,0,-2,0,-1
757,0562a,1358c,0,0,-4,-1,-3,0,0,1,3,0
758,1483a,0969a,0,0,1,0,3,0,1,-1,-3,0
759,1426b,1426c,1,-1,1,-1,-2,-1,1,0,2,0
760,1531c,1147c,0,-1,0,0,2,0,0,0,-2,-1
761,1554b,1554c,1,2,1,0,0,0,1,-1,1,0
762,0570c,1405b,0,1,-1,0,3,1,1,-1,1,0
763,0506b,1103a,0,-3,0,-1,-1,-1,0,0,0,0
764,0471a,0471b,1,-2,1,0,3,0,0,-1,-2,1
765,0323c,1125b,0,0,0,0,-1,-1,-1,-2,-1,0
766,0381b,0411b,0,-1,0,0,3,0,0,0,-1,1
767,0344c,0357c,0,-1,0,1,-1,0,0,-1,-1,0
768,0434b,0434c,1,1,0,0,-1,2,0,3,4,0
769,1531c,0316b,0,-1,0,0,0,0,-1,0,0,0
770,1497a,1497b,1,2,1,0,2,-1,1,-3,4,0
771,1471b,1471c,1,0,0,0,-3,-2,-1,-1,1,0
772,1426c,0469c,0,1,2,0,0,2,0,3,-3,0
773,1123c,1123a,1,-1,0,0,0,-3,1,-2,1,-1
774,1510b,0544a,0,-2,0,0,-1,2,-1,-1,2,0
775,1520c,0396b,0,2,3,0,2,0,0,-2,0,0
776,1540c,1485c,0,1,0,0,-2,0,1,0,3,0
777,1497b,1497c,1,-3,-2,0,-3,0,-1,-1,-2,0
778,0351a,0351b,1,0,4,0,0,-2,0,-3,0,0
779,1446b,1446c,1,1,-1,1,0,0,1,3,-1,0
780,0593a,0593b,1,2,0,0,1,0,2,0,-1,0
781,1253a,1253c,1,-1,-3,0,1,0,-1,-1,-1,-1
782,0491b,1146c,0,0,3,0,0,0,1,0,-2,0
783,1129a,1129b,1,-1,0,0,3,0,0,-1,2,0
784,0301b,1208a,0,0,-4,0,0,0,-1,0,1,0
785,0969a,0885c,0,1,2,0,3,2,-1,1,0,0
786,1091b,0340b,0,1,0,0,0,0,0,0,-4,0
787,1494a,1494c,1,3,0,0,-1,0,1,2,-2,1
788,1429c,1429a,1,-2,0,0,0,0,2,-1,2,0
789,1361b,1547a,0,-2,-1,1,-1,0,-1,1,-3,0
790,0322b,0324a,0,-1,1,0,0,0,-1,0,-3,0
791,0333c,0333a,1,2,0,0,1,0,-1,0,0,0
792,0359b,1311c,0,-1,-1,1,-2,0,0,1,-1,0
793,1144c,1226c,0,1,0,0,3,0,0,0,0,0
794,0367b,0367c,1,0,-3,0,0,0,0,0,-3,0
795,1329b,1329c,1,0,1,1,-2,-2,0,-3,-1,0
796,1302a,0492b,0,3,3,0,-3,0,0,0,-1,0
797,0334a,0334b,1,-2,0,-1,-3,2,1,-2,-2,0
798,1164c,1485b,0,1,1,1,3,2,0,2,-1,0
799,1176b,1176a,1,1,0,0,2,0,1,1,0,1
800,1362a,1362b,1,-1,3,-2,-2,0,0,-3,-2,0
801,0560a,0938b,0,1,0,0,0,-2,1,0,-2,-1
802,1152a,1152c,1,0,-1,-1,-3,-3,-1,-1,-2,0
803,1309a,1146a,0,0,3,0,2,0,0,1,1,1
804,0575c,1540c,0,1,1,0,-1,0,0,0,-1,0
805,0587a,0517b,0,1,0,0,0,2,0,-1,2,0
806,1383b,1383c,1,1,3,0,3,-2,1,-1,-1,1
807,1176b,0595c,0,-1,0,0,0,2,0,0,-1,0
808,1123b,1494c,0,-1,0,0,-1,-1,1,-3,2,0
809,1382c,1433a,0,3,-2,-1,-4,0,0,1,1,0
810,0363b,0567b,0,0,4,0,2,0,-1,0,-1,0
811,1485a,1377c,0,0,-2,1,0,0,0,1,-1,0
812,1475b,1475c,1,-1,1,0,3,0,0,0,2,0
813,1552a,1552c,1,2,-1,-1,-4,0,1,1,0,0
814,0368b,0368c,1,1,0,0,0,0,0,0,-4,0
815,0335a,0335c,1,-1,0,0,-3,0,1,1,0,-1
816,0413a,0507c,0,3,0,0,-1,0,0,0,0,0
817,0353a,0924b,0,0,-1,0,2,0,1,-1,1,1
818,0365b,0365c,1,2,-2,0,3,2,1,-1,2,1
819,0597c,0597b,1,1,0,0,-1,0,0,0,0,0
820,0924b,0924c,1,2,-1,0,3,2,0,2,-3,0
821,1475a,1475c,1,1,1,0,-1,-2,2,-1,-1,0
822,0546c,1383c,0,0,-1,0,0,0,1,-3,-1,0
823,0584b,0584c,1,-1,-1,0,0,0,0,-3,2,0
824,1129c,1209c,0,1,-1,0,-3,0,1,-1,0,0
825,1386a,1386c,1,-1,-1,0,0,1,-2,3,0,0
826,0593b,0593c,1,-1,0,0,0,0,0,-1,3,0
827,1268a,1562b,0,2,0,0,-4,2,1,1,1,-1
828,1365c,1365b,1,-1,1,0,3,0,0,1,0,0
829,1358a,1358c,1,-2,-4,0,-3,0,0,1,1,0
830,1520c,0353b,0,-1,1,1,-1,0,2,0,0,0
831,1360b,1257b,0,-1,-1,0,0,0,1,-2,1,1
832,0337a,1450b,0,1,0,0,0,0,-1,-1,1,0
833,1520a,1546b,0,-1,0,0,-3,0,-1,-1,-2,-1
834,1268a,1268b,1,-1,0,0,3,0,0,-1,0,0
835,0319a,0453c,0,1,-4,0,-3,2,0,3,1,0
836,1414b,1414c,1,0,1,-1,1,0,-1,-2,3,1
837,1547a,1547c,1,-3,1,1,-1,0,0,0,1,0
838,0496c,0496a,1,1,1,1,3,2,0,-3,2,0
839,0517b,0517a,1,2,-1,1,0,0,0,3,-2,0
840,1453a,1453b,1,2,-1,0,-2,2,0,2,1,1
841,1329a,1329c,1,-3,0,0,-3,0,0,-1,1,0
842,0353b,0353c,1,0,0,0,3,0,-1,1,0,0
843,1493a,0488b,0,1,2,0,-3,0,1,2,-2,0
844,1417b,1417a,1,-1,2,1,-2,0,-1,2,3,0
845,0521a,0521c,1,0,-3,0,-1,2,-1,1,0,-1
846,1433a,1433b,1,0,-3,0,-1,-1,1,0,-1,0
847,1120a,1120b,1,2,0,0,-1,0,2,1,-1,0
848,1488a,1488c,1,-1,0,1,1,0,0,0,-1,0
849,1432c,1432a,1,1,1,0,0,0,0,1,-1,0
850,0472a,0472c,1,0,4,0,0,0,0,0,0,0
851,1497c,1140b,0,-2,0,0,0,2,0,1,1,0
852,1149c,0350c,0,1,1,0,3,2,-1,0,-2,0
853,1344a,1344b,1,3,0,2,1,0,2,0,4,0
